
33.3, 0.0802, 0.0842, 0.0868, 0.0889, 0.0823
, 0.0805, 0.0844, 0.0838, 0.0812, 0.308
, 0.0845, 0.0829, 0.0821, 0.2834, 0.3055
, 0.0821, 0.0821, 0.2731, 0.2969, 0.3076
, 0.1463, 0.2294, 0.2529, 0.2711, 0.2798
, 0.1244, 0.2491, 0.0796, 0.0891, 0.0843
, 0.0736, 0.2166, 0.2095, 0.0802, 0.0882
, 0.072, 0.0762, 0.072, 0.0795, 0.0774
, , , , , 
37, 0.0795, 0.0841, 0.0867, 0.089, 0.0823
, 0.0808, 0.0842, 0.0837, 0.0809, 0.1533
, 0.0842, 0.0833, 0.0819, 0.1147, 0.1178
, 0.0818, 0.0826, 0.1123, 0.1221, 0.1202
, 0.1466, 0.1178, 0.1172, 0.1145, 0.1271
, 0.1205, 0.1169, 0.0792, 0.0884, 0.084
, 0.0732, 0.1268, 0.1194, 0.0801, 0.0877
, 0.0718, 0.0762, 0.0717, 0.079, 0.0769
, , , , , 
37, 0.0794, 0.0839, 0.0863, 0.0885, 0.0818
, 0.0805, 0.0842, 0.0837, 0.0809, 0.1594
, 0.0839, 0.0828, 0.0816, 0.1147, 0.1335
, 0.0816, 0.082, 0.113, 0.1234, 0.1221
, 0.1459, 0.1174, 0.1191, 0.115, 0.1276
, 0.1217, 0.1175, 0.0793, 0.0889, 0.0842
, 0.0729, 0.1339, 0.1205, 0.08, 0.0873
, 0.0719, 0.0759, 0.0715, 0.0794, 0.0772
, , , , , 
37, 0.0794, 0.0838, 0.0862, 0.0881, 0.0815
, 0.0804, 0.084, 0.0837, 0.0809, 0.158
, 0.0839, 0.0827, 0.0818, 0.1165, 0.119
, 0.0816, 0.0819, 0.1129, 0.1222, 0.1218
, 0.1457, 0.1185, 0.1189, 0.1156, 0.1284
, 0.1212, 0.1194, 0.0792, 0.0887, 0.084
, 0.0729, 0.1425, 0.1211, 0.0802, 0.0872
, 0.0718, 0.0756, 0.0716, 0.079, 0.077
, , , , , 
37, 0.0792, 0.0837, 0.0863, 0.0883, 0.0816
, 0.0805, 0.0838, 0.0835, 0.0809, 0.1558
, 0.0839, 0.0829, 0.0816, 0.1148, 0.1366
, 0.0816, 0.0822, 0.1119, 0.1219, 0.1217
, 0.1458, 0.1178, 0.1176, 0.115, 0.1278
, 0.1206, 0.1183, 0.079, 0.0886, 0.0841
, 0.073, 0.1555, 0.1201, 0.08, 0.0871
, 0.0719, 0.0757, 0.0715, 0.0789, 0.0768
, , , , , 
37, 0.0793, 0.0837, 0.0862, 0.0881, 0.0817
, 0.0805, 0.0839, 0.0836, 0.0809, 0.1627
, 0.0839, 0.0824, 0.0817, 0.1142, 0.1195
, 0.0815, 0.0817, 0.1137, 0.1216, 0.1218
, 0.1451, 0.1183, 0.1198, 0.1153, 0.1286
, 0.121, 0.1202, 0.0791, 0.0889, 0.0841
, 0.0728, 0.1597, 0.1213, 0.0799, 0.0869
, 0.0719, 0.0754, 0.0713, 0.0786, 0.0765
, , , , , 
37, 0.0793, 0.0837, 0.0864, 0.0886, 0.0818
, 0.0805, 0.084, 0.0837, 0.0811, 0.1591
, 0.0839, 0.0828, 0.0817, 0.115, 0.1191
, 0.0815, 0.082, 0.114, 0.1233, 0.1222
, 0.1455, 0.12, 0.119, 0.116, 0.1292
, 0.1218, 0.1226, 0.079, 0.0883, 0.0837
, 0.0727, 0.1795, 0.1203, 0.0797, 0.0866
, 0.0717, 0.0755, 0.0713, 0.0787, 0.0765
, , , , , 
37, 0.0794, 0.084, 0.0865, 0.0883, 0.082
, 0.0803, 0.0836, 0.0833, 0.0807, 0.1658
, 0.0837, 0.0822, 0.0816, 0.1143, 0.1185
, 0.0814, 0.0815, 0.1146, 0.1226, 0.1218
, 0.145, 0.1205, 0.1199, 0.1163, 0.1297
, 0.1221, 0.1174, 0.0789, 0.0887, 0.0839
, 0.0727, 0.1816, 0.1228, 0.0799, 0.0869
, 0.072, 0.0755, 0.0715, 0.0791, 0.0768
, , , , , 
37, 0.0795, 0.0839, 0.0865, 0.0884, 0.082
, 0.0803, 0.0839, 0.0835, 0.081, 0.173
, 0.0837, 0.0821, 0.0815, 0.1145, 0.1194
, 0.0813, 0.0815, 0.1143, 0.1251, 0.1226
, 0.145, 0.1213, 0.1204, 0.1168, 0.129
, 0.1224, 0.1223, 0.0789, 0.0888, 0.0838
, 0.0727, 0.1919, 0.1234, 0.0798, 0.0867
, 0.072, 0.0755, 0.0713, 0.0791, 0.0767
, , , , , 
37, 0.079, 0.0834, 0.0859, 0.0879, 0.0815
, 0.08, 0.0836, 0.0834, 0.0809, 0.173
, 0.0837, 0.0822, 0.0816, 0.1154, 0.1199
, 0.0815, 0.0815, 0.114, 0.1231, 0.1234
, 0.145, 0.1212, 0.1204, 0.1169, 0.1289
